Date,Close
12/29/2023,"4,769.83"
12/28/2023,"4,783.35"
12/27/2023,"4,781.58"
12/26/2023,"4,774.75"
12/22/2023,"4,754.63"
12/21/2023,"4,746.75"
12/20/2023,"4,698.35"
12/19/2023,"4,768.37"
12/18/2023,"4,740.56"
12/15/2023,"4,719.19"
12/14/2023,"4,719.55"
12/13/2023,"4,707.09"
12/12/2023,"4,643.70"
12/11/2023,"4,622.44"
12/08/2023,"4,604.37"
12/07/2023,"4,585.59"
12/06/2023,"4,549.34"
12/05/2023,"4,567.18"
12/04/2023,"4,569.78"
12/01/2023,"4,594.63"
11/30/2023,"4,567.80"
11/29/2023,"4,550.58"
11/28/2023,"4,554.89"
11/27/2023,"4,550.43"
11/24/2023,"4,559.34"
11/22/2023,"4,556.62"
11/21/2023,"4,538.19"
11/20/2023,"4,547.38"
11/17/2023,"4,514.02"
11/16/2023,"4,508.24"
11/15/2023,"4,502.88"
11/14/2023,"4,495.70"
11/13/2023,"4,411.55"
11/10/2023,"4,415.24"
11/09/2023,"4,347.35"
11/08/2023,"4,382.78"
11/07/2023,"4,378.38"
11/06/2023,"4,365.98"
11/03/2023,"4,358.34"
11/02/2023,"4,317.78"
11/01/2023,"4,237.86"
10/31/2023,"4,193.80"
10/30/2023,"4,166.82"
10/27/2023,"4,117.37"
10/26/2023,"4,137.23"
10/25/2023,"4,186.77"
10/24/2023,"4,247.68"
10/23/2023,"4,217.04"
10/20/2023,"4,224.16"
10/19/2023,"4,278.00"
10/18/2023,"4,314.60"
10/17/2023,"4,373.20"
10/16/2023,"4,373.63"
10/13/2023,"4,327.78"
10/12/2023,"4,349.61"
10/11/2023,"4,376.95"
10/10/2023,"4,358.24"
10/09/2023,"4,335.66"
10/06/2023,"4,308.50"
10/05/2023,"4,258.19"
10/04/2023,"4,263.75"
10/03/2023,"4,229.45"
10/02/2023,"4,288.39"
09/29/2023,"4,288.05"
09/28/2023,"4,299.70"
09/27/2023,"4,274.51"
09/26/2023,"4,273.53"
09/25/2023,"4,337.44"
09/22/2023,"4,320.06"
09/21/2023,"4,330.00"
09/20/2023,"4,402.20"
09/19/2023,"4,443.95"
09/18/2023,"4,453.53"
09/15/2023,"4,450.32"
09/14/2023,"4,505.10"
09/13/2023,"4,467.44"
09/12/2023,"4,461.90"
09/11/2023,"4,487.46"
09/08/2023,"4,457.49"
09/07/2023,"4,451.14"
09/06/2023,"4,465.48"
09/05/2023,"4,496.83"
09/01/2023,"4,515.77"
08/31/2023,"4,507.66"
08/30/2023,"4,514.87"
08/29/2023,"4,497.63"
08/28/2023,"4,433.31"
08/25/2023,"4,405.71"
08/24/2023,"4,376.31"
08/23/2023,"4,436.01"
08/22/2023,"4,387.55"
08/21/2023,"4,399.77"
08/18/2023,"4,369.71"
08/17/2023,"4,370.36"
08/16/2023,"4,404.33"
08/15/2023,"4,437.86"
08/14/2023,"4,489.72"
08/11/2023,"4,464.05"
08/10/2023,"4,468.83"
08/09/2023,"4,467.71"
08/08/2023,"4,499.38"
08/07/2023,"4,518.44"
08/04/2023,"4,478.03"
08/03/2023,"4,501.89"
08/02/2023,"4,513.39"
08/01/2023,"4,576.73"
07/31/2023,"4,588.96"
07/28/2023,"4,582.23"
07/27/2023,"4,537.41"
07/26/2023,"4,566.75"
07/25/2023,"4,567.46"
07/24/2023,"4,554.64"
07/21/2023,"4,536.34"
07/20/2023,"4,534.87"
07/19/2023,"4,565.72"
07/18/2023,"4,554.98"
07/17/2023,"4,522.79"
07/14/2023,"4,505.42"
07/13/2023,"4,510.04"
07/12/2023,"4,472.16"
07/11/2023,"4,439.26"
07/10/2023,"4,409.53"
07/07/2023,"4,398.95"
07/06/2023,"4,411.59"
07/05/2023,"4,446.82"
07/03/2023,"4,455.59"
06/30/2023,"4,450.38"
06/29/2023,"4,396.44"
06/28/2023,"4,376.86"
06/27/2023,"4,378.41"
06/26/2023,"4,328.82"
06/23/2023,"4,348.33"
06/22/2023,"4,381.89"
06/21/2023,"4,365.69"
06/20/2023,"4,388.71"
06/16/2023,"4,409.59"
06/15/2023,"4,425.84"
06/14/2023,"4,372.59"
06/13/2023,"4,369.01"
06/12/2023,"4,338.93"
06/09/2023,"4,298.86"
06/08/2023,"4,293.93"
06/07/2023,"4,267.52"
06/06/2023,"4,283.85"
06/05/2023,"4,273.79"
06/02/2023,"4,282.37"
06/01/2023,"4,221.02"
05/31/2023,"4,179.83"
05/30/2023,"4,205.52"
05/26/2023,"4,205.45"
05/25/2023,"4,151.28"
05/24/2023,"4,115.24"
05/23/2023,"4,145.58"
05/22/2023,"4,192.63"
05/19/2023,"4,191.98"
05/18/2023,"4,198.05"
05/17/2023,"4,158.77"
05/16/2023,"4,109.90"
05/15/2023,"4,136.28"
05/12/2023,"4,124.08"
05/11/2023,"4,130.62"
05/10/2023,"4,137.64"
05/09/2023,"4,119.17"
05/08/2023,"4,138.12"
05/05/2023,"4,136.25"
05/04/2023,"4,061.22"
05/03/2023,"4,090.75"
05/02/2023,"4,119.58"
05/01/2023,"4,167.87"
04/28/2023,"4,169.48"
04/27/2023,"4,135.35"
04/26/2023,"4,055.99"
04/25/2023,"4,071.63"
04/24/2023,"4,137.04"
04/21/2023,"4,133.52"
04/20/2023,"4,129.79"
04/19/2023,"4,154.52"
04/18/2023,"4,154.87"
04/17/2023,"4,151.32"
04/14/2023,"4,137.64"
04/13/2023,"4,146.22"
04/12/2023,"4,091.95"
04/11/2023,"4,108.94"
04/10/2023,"4,109.11"
04/06/2023,"4,105.02"
04/05/2023,"4,090.38"
04/04/2023,"4,100.60"
04/03/2023,"4,124.51"
03/31/2023,"4,109.31"
03/30/2023,"4,050.83"
03/29/2023,"4,027.81"
03/28/2023,"3,971.27"
03/27/2023,"3,977.53"
03/24/2023,"3,970.99"
03/23/2023,"3,948.72"
03/22/2023,"3,936.97"
03/21/2023,"4,002.87"
03/20/2023,"3,951.57"
03/17/2023,"3,916.64"
03/16/2023,"3,960.28"
03/15/2023,"3,891.93"
03/14/2023,"3,919.29"
03/13/2023,"3,855.76"
03/10/2023,"3,861.59"
03/09/2023,"3,918.32"
03/08/2023,"3,992.01"
03/07/2023,"3,986.37"
03/06/2023,"4,048.42"
03/03/2023,"4,045.64"
03/02/2023,"3,981.35"
03/01/2023,"3,951.39"
02/28/2023,"3,970.15"
02/27/2023,"3,982.24"
02/24/2023,"3,970.04"
02/23/2023,"4,012.32"
02/22/2023,"3,991.05"
02/21/2023,"3,997.34"
02/17/2023,"4,079.09"
02/16/2023,"4,090.41"
02/15/2023,"4,147.60"
02/14/2023,"4,136.13"
02/13/2023,"4,137.29"
02/10/2023,"4,090.46"
02/09/2023,"4,081.50"
02/08/2023,"4,117.86"
02/07/2023,"4,164.00"
02/06/2023,"4,111.08"
02/03/2023,"4,136.48"
02/02/2023,"4,179.76"
02/01/2023,"4,119.21"
01/31/2023,"4,076.60"
01/30/2023,"4,017.77"
01/27/2023,"4,070.56"
01/26/2023,"4,060.43"
01/25/2023,"4,016.22"
01/24/2023,"4,016.95"
01/23/2023,"4,019.81"
01/20/2023,"3,972.61"
01/19/2023,"3,898.85"
01/18/2023,"3,928.86"
01/17/2023,"3,990.97"
01/13/2023,"3,999.09"
01/12/2023,"3,983.17"
01/11/2023,"3,969.61"
01/10/2023,"3,919.25"
01/09/2023,"3,892.09"
01/06/2023,"3,895.08"
01/05/2023,"3,808.10"
01/04/2023,"3,852.97"
01/03/2023,"3,824.14"